G2,G3,Index,M2,mb,mc,Order,s0,ThetaDeg,Threshold
0.39230040077387973,0.8095671683351611,21.,7.600162933899538,4.174852946448541,1.2631712082113418,pert,54.81791372818497,43.356065392024036,29.57210670666434
0.5741278748343375,0.34155637231698094,22.,7.268706050683056,4.206186139594641,1.279729891895268,pert,53.46765585595047,42.97832262163875,30.09527470455799
0.4971381291689,0.6109823143199735,23.,8.206050029267258,4.1997274203557975,1.2752543380687207,pert,54.7087202031476,43.34169596512116,29.97542525508123
0.5134022283146356,0.2870990400114258,24.,7.619652872773356,4.1599535084911645,1.258784770613451,pert,54.4822215286265,43.37741978826457,29.362724537433646
0.6015063827190145,0.3519555686154143,25.,8.023392683203085,4.150417274459215,1.272880603245484,pert,54.71612845973979,43.401057238685915,29.4121598703163
0.5816130229950841,0.3751904919582987,26.,8.187340564415388,4.1907177723444216,1.2815501982056443,pert,54.40329035983438,43.27060437091781,29.945716741508136
0.3817204333818522,0.49527276378111124,27.,8.658874726625655,4.206290640807868,1.25608313871214,pert,53.82917707392739,43.439356887658874,29.8375273071877
0.40337497403217415,0.3545971939828261,28.,7.562255103133638,4.169718738288618,1.2635492772736217,pert,54.831217179794464,43.353581497800725,29.520401328931637
0.3628498881793348,0.7826530478984682,29.,8.993963012454058,4.175482844226359,1.2826037063782731,pert,53.16823280128827,43.25755754216034,29.79070879389117
0.6096541397414009,0.6003697965995678,30.,8.168939826415372,4.20248332975011,1.2529272140854788,pert,53.00206185066093,43.28798710850381,29.761504201792512
0.5374429031545976,0.2970419058207277,31.,8.018824688601782,4.176484956085968,1.2890376472930596,pert,54.96477086203353,43.271114754293016,29.871937328047064
0.5681497328751338,0.5768399701396216,32.,8.05588089861119,4.205285039960075,1.2705012741624178,pert,54.44777889338941,43.30974842081231,29.984235757931195
0.4216487848730338,0.6816945223324025,33.,8.870775390486171,4.187847007405459,1.2644171390665462,pert,53.13141605132201,43.34996895394439,29.727184322904108
0.3949965813402174,0.8121841611646348,34.,8.530826473895115,4.209675771931279,1.2877149959177439,pert,53.1060085666587,43.08932538543566,30.22130525443167
0.4291043092335391,0.42541025060718374,35.,8.21594639022379,4.209403853347473,1.2629413399958067,pert,54.720881930804154,43.41878936184874,29.9465619151073
